股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%,过去一季收益率,相对沪深300指数的收益率1,未来一个月,相对沪深300指数的收益率2,两到三月,相对沪深300指数的收益率3
600519,贵州茅台,2020-03-31,1237,减持,57797018,64212486998.0,-752905,-1.2859197099200301,-0.015067534843674285,0.09052650594393183,0.13312079412377392,0.07058379279308394,0.18302387267904524,0.10630288676136715
600276,恒瑞医药,2020-03-31,868,增持,336317757,30951323176.71,5323438,1.60831702975543,0.04579004920721718,0.1513840899948233,0.017770172436488013,-0.04476682889420197,0.20010401768300612,0.12338303176532803
601318,中国平安,2020-03-31,811,减持,600257927,41519848975.69,-170123651,-22.0830372711742,-0.1947570026334691,-0.08916296184586298,0.07912382655341979,0.016586825222729806,-0.00841632767569096,-0.08513731359336905
600036,招商银行,2020-03-31,724,减持,840212305,27122053205.4,-264730462,-23.958748806398603,-0.15126050420168072,-0.0456664634140746,0.09245585874799367,0.029918857417303685,-0.02329053448790687,-0.10001152040558496
2475,立讯精密,2020-03-31,627,减持,758926459,28843792524.24,-135162082,-15.117303913639999,0.031338028169014105,0.13693206895662022,0.24477202605416523,0.18223502472347525,0.43556052558009495,0.3588395396624169
600887,伊利股份,2020-03-31,577,减持,694393012,20734575338.32,-167926469,-19.4738113541471,-0.04154302670623139,0.06405101408137473,-0.008707767328456984,-0.07124476865914697,0.11377459749552772,0.03705361157784963
858,五粮液,2020-03-31,574,减持,282517940,32546066688.0,-25366939,-8.23909867947753,-0.1272936660268714,-0.021699625239265274,0.17045255984623456,0.10791555851554457,0.2894280762564991,0.212707090338821
651,格力电器,2020-03-31,542,减持,381624528,19920800361.6,-201871339,-34.5968755593602,-0.20897395669909005,-0.10337991591148393,0.06246234183570997,-7.465949498001306e-05,0.0721431319738361,-0.004577853943841997
661,长春高新,2020-03-31,499,减持,38162618,20885268793.84,-9361745,-19.6988332068754,0.20971878316236284,0.31531282394996896,0.09134597747532938,0.028808976144639398,0.4803101407875944,0.4035891548699163
2,万科A,2020-03-31,483,减持,936352337,24017437444.05,-167494826,-15.1737334310656,-0.21783117293708507,-0.11223713214947895,0.012936103488827844,-0.04960089784186214,-0.0023743569449940134,-0.0790953428626721
600030,中信证券,2020-03-31,472,减持,791983346,17550350947.36,-48980697,-5.82435092293238,-0.13930544593528024,-0.03371140514767412,0.07313707451701931,0.010600073186329328,0.03987730061349694,-0.036843685304181154
