时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020-12-31,0.2813369798909404,0.16390005870756522,0.08278467865540258,0.05611445672646825,0.0,0.0,0.0,7.703719777548943e-34,0.0,4.81482486096809e-35,0.0,0.0
2020-09-30,0.43178412216082634,0.33735421687304706,0.031951767584117885,0.025150169680348,0.20339223828906247,0.1160050712059728,3.0814879110195774e-33,3.0814879110195774e-33,4.81482486096809e-35,0.0,7.703719777548943e-34,7.703719777548943e-34
2020-06-30,0.3126530606481327,0.18972889920870475,0.12478943031717413,0.008913150551845907,0.0003305804765651294,0.014255235154587181,3.0814879110195774e-33,0.0,0.0,3.009265538105056e-36,1.1754943508222875e-38,1.2037062152420224e-35
2020-03-31,0.1875043233789285,0.29309836416653445,0.07083269821981442,0.008295696889124472,0.10874134428920756,0.03202035837152946,7.703719777548943e-34,3.0814879110195774e-33,7.703719777548943e-34,3.009265538105056e-36,0.0,4.81482486096809e-35
2019-12-31,0.1310528065830281,0.05825368439394786,-0.02615665423341523,0.002341289401558817,0.018809959583205308,0.006103601458965975,3.0814879110195774e-33,0.0,4.81482486096809e-35,1.88079096131566e-37,1.2037062152420224e-35,7.52316384526264e-37
2019-09-30,0.4226033396108432,0.44435066543348445,0.02173226916366824,0.002709540879144396,0.12435802218012769,0.07962388786254274,0.0,0.0,4.81482486096809e-35,0.0,1.925929944387236e-34,1.925929944387236e-34
2019-06-30,0.07065965945863613,0.09003333453560015,0.0014630538803139044,0.008902793527894304,0.01982135640997922,0.030765832833072163,1.925929944387236e-34,1.925929944387236e-34,4.70197740328915e-38,1.2037062152420224e-35,1.2037062152420224e-35,4.81482486096809e-35
2019-03-31,0.6982994675529729,0.41482245177276245,-0.054775709376971723,-0.057861962988067894,0.039176842033493975,0.025796993129629662,4.930380657631324e-32,3.0814879110195774e-33,4.81482486096809e-35,4.333342374871281e-34,1.925929944387236e-34,1.2037062152420224e-35
2018-12-31,-0.060341316439994526,0.04404771722294759,0.08834710207486761,0.027175170366289473,0.2125791944911654,0.01212534373490247,4.81482486096809e-35,0.0,0.0,4.81482486096809e-35,0.0,3.009265538105056e-36
2018-09-30,0.16940562151448754,0.18812462529823734,-0.042686473635137674,0.03207048444384935,-0.017351087758923658,0.016662888741560772,7.703719777548943e-34,7.703719777548943e-34,4.81482486096809e-35,0.0,1.2037062152420224e-35,4.81482486096809e-35
2018-06-30,-0.02046416490317082,0.07859383084228531,0.006083294380573139,0.003052870292411227,-0.009241635919602979,0.011157341995035167,1.2037062152420224e-35,0.0,6.770847460736376e-36,7.52316384526264e-37,3.009265538105056e-36,0.0
2018-03-31,0.2854941601395492,0.32176174575315136,-0.029386473045101322,0.006571864244256458,-0.03067308135534053,0.03801519667634699,3.0814879110195774e-33,3.0814879110195774e-33,1.925929944387236e-34,7.52316384526264e-37,1.2037062152420224e-35,0.0
2017-12-31,0.16860353407148687,0.13772460739167477,0.073645483086921,0.016617541397861726,-0.13389429538003203,-0.04553836484130026,3.0814879110195774e-33,7.703719777548943e-34,1.925929944387236e-34,1.2037062152420224e-35,0.0,4.81482486096809e-35
2017-09-30,0.42265214347537905,0.37649468948421944,0.04480683000274699,0.019331843365542504,0.02734269969216071,0.018467470991082705,0.0,3.0814879110195774e-33,4.81482486096809e-35,1.2037062152420224e-35,0.0,1.2037062152420224e-35
2017-06-30,0.21093952666271182,0.14340178087108366,0.024571312652354026,0.00966632987243572,0.042773905329139876,0.012129944260697969,7.703719777548943e-34,7.703719777548943e-34,1.2037062152420224e-35,3.009265538105056e-36,1.925929944387236e-34,0.0
2017-03-31,0.18325950800424026,0.14038016462247518,0.007342923656457439,0.017891131295350336,0.07533841572508793,0.005651841942735944,0.0,7.703719777548943e-34,7.52316384526264e-37,0.0,0.0,7.52316384526264e-37
2016-12-31,0.046638841122549846,0.03294356709457138,0.04130963007346496,0.018976764459922146,0.0927523887934253,0.07354821766633032,1.925929944387236e-34,4.81482486096809e-35,0.0,0.0,1.925929944387236e-34,1.925929944387236e-34
2016-09-30,0.27788451039301615,0.24736435315164543,-0.006170934654042041,-0.029068869338119713,-0.03618517853351537,-0.029484322396365392,3.0814879110195774e-33,7.703719777548943e-34,7.52316384526264e-37,1.0833355937178202e-34,0.0,0.0
2016-06-30,0.09363983004388791,0.1169521055300764,0.06027909025188337,0.04539120867072699,0.023019170185137026,0.005233703273613749,1.925929944387236e-34,1.7333369499485123e-33,4.81482486096809e-35,0.0,1.2037062152420224e-35,0.0
2016-03-31,0.16421958997520883,0.3005022200257207,-0.03829318987712614,-0.02058135263185826,0.03153971250582871,0.03340690747263063,6.933347799794049e-33,3.0814879110195774e-33,0.0,1.2037062152420224e-35,0.0,4.81482486096809e-35
2015-12-31,0.27726533645673435,0.15515031621601097,-0.18450237855213855,0.024783531278075158,0.11382513626239948,0.01887916751069822,1.232595164407831e-32,7.703719777548943e-34,7.703719777548943e-34,1.2037062152420224e-35,7.703719777548943e-34,0.0
2015-09-30,-0.09766861010817542,0.17587084799778102,0.07899029882865079,0.016102702512282,0.10396775223457809,0.024878442876039512,1.925929944387236e-34,7.703719777548943e-34,1.925929944387236e-34,0.0,1.925929944387236e-34,1.2037062152420224e-35
2015-06-30,0.22342512659821134,0.14270058451084025,-0.0881982559530979,0.04642925426468477,-0.10053727213877647,0.051484352573970694,3.0814879110195774e-33,7.703719777548943e-34,1.925929944387236e-34,0.0,1.925929944387236e-34,0.0
2015-03-31,1.1664122674561592,1.0303781236179501,0.2747107593410336,0.10406627382039275,0.03977285971405703,0.09960084165468311,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0
2014-12-31,0.823920694835581,0.3879651181492871,-0.07130735925588193,-0.03437615449099929,0.15903559406047932,-0.04661051523691143,1.232595164407831e-32,3.0814879110195774e-33,1.925929944387236e-34,0.0,7.703719777548943e-34,0.0
