股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
000651,格力电器,2017-03-31,438,增持,460428371,14595579360.7,28495689,6.59725234683677
600519,贵州茅台,2017-03-31,393,减持,38964027,15054141471.72,-6279765,-13.8798379233995
601318,中国平安,2017-03-31,361,减持,412767381,15276520770.81,-5392439,-1.28956411928817
000858,五粮液,2017-03-31,292,增持,252319412,10849734716,10813167,4.47738608167255
600887,伊利股份,2017-03-31,258,减持,541696854,10243487509.14,-51278250,-8.64762275078584
000333,美的集团,2017-03-31,253,减持,294173688,9795983810.40001,-68387250,-18.8622774359658
601166,兴业银行,2017-03-31,252,减持,677230434,10977905335.14,-105985125,-13.5320505041193
600036,招商银行,2017-03-31,250,增持,588478681,11281136314.77,18926145,3.32298494058501
601398,工商银行,2017-03-31,235,减持,857074817,4148242114.28,-399017923,-31.7665973453521
601328,交通银行,2017-03-31,234,减持,1454911083,9064096047.09,-185405752,-11.3030451217676
600104,上汽集团,2017-03-31,215,减持,247421780,6279564776.4,-189151254,-43.3263713672247
601288,农业银行,2017-03-31,200,减持,2022012322,6753521155.48,-258211968,-11.3239723448433
600028,中国石化,2017-03-31,181,减持,713628584,4096228072.16,-524903116,-42.3810804358096
000001,平安银行,2017-03-31,172,减持,320784015,2941589417.55,-199761929,-38.375465470921
600068,葛洲坝,2017-03-31,168,减持,331845733,3905824277.41,-99840899,-23.1280960768783
601668,中国建筑,2017-03-31,168,减持,616888830,5675377236,-123341268,-16.662557809153
600016,民生银行,2017-03-31,165,减持,918720357,7790748627.36,-95935378,-9.4549682903039
000423,东阿阿胶,2017-03-31,163,减持,72047598,4726322428.8,-6307300,-8.04965632142103
601988,中国银行,2017-03-31,159,减持,631357231,2336021754.7,-656306100,-50.9687652198896
000568,泸州老窖,2017-03-31,152,减持,131550958,5550134918.02,-30213452,-18.6774408536464
600900,长江电力,2017-03-31,149,减持,134325178,1782495112.06,-127452945,-48.6873935603855
002142,宁波银行,2017-03-31,141,减持,157133263,2894394704.46,-97121008,-38.1983781896824
002456,欧菲光,2017-03-31,138,减持,138958765,5260978842.9,-36917679,-20.9906899186568
601607,上海医药,2017-03-31,129,减持,123918825,2888547810.75,-79748101,-39.1561372119889
600276,恒瑞医药,2017-03-31,129,减持,68264451,3708807622.83,-59975536,-46.7682018713867
601939,建设银行,2017-03-31,127,减持,292882851,1739724134.94,-262811477,-47.2942522098228
600000,浦发银行,2017-03-31,124,减持,428952733,6867533255.33,-72568801,-14.4697278342589
002415,海康威视,2017-03-31,122,减持,139094220,4437105618,-44261093,-24.1395202984928
002475,立讯精密,2017-03-31,120,减持,238206976,5971406904.88,-37502517,-13.602185616438
002241,歌尔股份,2017-03-31,120,增持,90394588,3077031775.52,2161404,2.449649782558
000963,华东医药,2017-03-31,117,减持,39335650,3644447972.5,-10277636,-20.7154914109096
600030,中信证券,2017-03-31,116,减持,425303733,6851643138.63,-105582290,-19.8879392987899
601009,南京银行,2017-03-31,114,减持,184508007,2217786244.14,-215395706,-53.8618919999875
600703,三安光电,2017-03-31,112,减持,177107060,2831941889.4,-25421118,-12.5518919150105
000002,万科A,2017-03-31,108,减持,103650381,2133124840.98,-32970963,-24.1330981197199
300156,神雾退,2017-03-31,103,减持,111531478,3903601730,-21935437,-16.4351120275763
300136,信维通信,2017-03-31,102,减持,173541110,5961137128.5,-41435943,-19.2745888092531
601006,大秦铁路,2017-03-31,101,减持,314976199,2384369826.43,-247423677,-43.994262367156
600518,ST康美,2017-03-31,101,减持,170403558,3213811103.88,-100801019,-37.167890053714
002466,天齐锂业,2017-03-31,97,增持,64838013,2801002161.6,34307487,112.371097045626
002236,大华股份,2017-03-31,97,减持,281773654,4499925254.38,-33702270,-10.6829927218154
000776,广发证券,2017-03-31,94,减持,169431153,2895578404.77,-52588714,-23.6864901824304
000538,云南白药,2017-03-31,92,减持,31027521,2641062587.52,-17722593,-36.3539519107586
601186,中国铁建,2017-03-31,88,减持,165386130,2148365828.7,-87492064,-34.5985008102359
002572,索菲亚,2017-03-31,86,减持,89987445,6183837145.7,-21315174,-19.1506490965859
000725,京东方A,2017-03-31,85,减持,475712898,1636452369.12,-332878228,-41.1676825649457
600584,长电科技,2017-03-31,85,减持,157410887,2971917546.56,-37633130,-19.294685670876
600056,中国医药,2017-03-31,85,减持,116259633,2748377724.12,-42513539,-26.7762736389747
603833,欧派家居,2017-03-31,85,新进,166781,16009308.19,166781,0.04017927
600079,人福医药,2017-03-31,84,减持,119542691,2359772720.34,-82868044,-40.9405380599008
002460,赣锋锂业,2017-03-31,83,增持,47471374,1961991887.42,25363491,114.726005199141
601228,广州港,2017-03-31,82,新进,2139435,8536345.64999999,2139435,0.03454521
000063,中兴通讯,2017-03-31,82,减持,145877962,2474090235.52,-99177801,-40.4715236180755
002450,*ST康得,2017-03-31,81,减持,164193337,3139376603.44,-19803135,-10.7627797341679
000895,双汇发展,2017-03-31,78,减持,60493367,1364125425.85,-38490986,-38.8859297792248
601169,北京银行,2017-03-31,78,减持,185699922,1784576250.42,-365553963,-66.3131767316252
002508,老板电器,2017-03-31,78,减持,56914615,2822964904,-32754407,-36.5281189305265
002304,洋河股份,2017-03-31,76,减持,20630497,1802692827.86,-11353317,-35.4970704869657
601601,中国太保,2017-03-31,74,减持,74317342,2037781517.64,-47692099,-39.0888595252231
600066,宇通客车,2017-03-31,74,减持,64328770,1381781979.6,-56027791,-46.5515054056754
600048,保利地产,2017-03-31,74,减持,265500560,2530220336.8,-245461071,-48.0390417025266
002035,华帝股份,2017-03-31,72,减持,113612626,3792389455.88,-8619822,-7.05199162827861
002008,大族激光,2017-03-31,71,减持,79950743,2100306018.61,-42126961,-34.508316932304
601628,中国人寿,2017-03-31,70,减持,105805128,2676869738.4,-66442307,-38.5737569909241
600015,华夏银行,2017-03-31,70,减持,119298268,1346877445.72,-270222915,-69.3730987667492
600196,复星医药,2017-03-31,69,减持,81144167,2289888392.74,-16933129,-17.2650854893063
300145,中金环境,2017-03-31,69,减持,100226719,2844434285.22,-26086566,-20.6522742243621
601818,光大银行,2017-03-31,68,减持,393364306,1616727297.66,-770869401,-66.2125994433178
600660,福耀玻璃,2017-03-31,68,减持,72992290,1650355676.9,-15697474,-17.6993074420629
600547,山东黄金,2017-03-31,66,减持,47118326,1685893704.28,-56185928,-54.3887844154027
000661,长春高新,2017-03-31,66,减持,18232517,2005576870,-10247252,-35.9808115016663
600089,特变电工,2017-03-31,66,减持,165882249,1856222366.31,-15185752,-8.38676735598357
600741,华域汽车,2017-03-31,65,减持,86887316,1582218024.36,-67507192,-43.7238298657618
601766,中国中车,2017-03-31,65,减持,106862214,1094269071.36,-219032422,-67.2095818109753
600873,梅花生物,2017-03-31,63,减持,105710994,773804476.08,-21953976,-17.1965543876288
600867,通化东宝,2017-03-31,63,减持,179717093,3648256987.9,-63053431,-25.972440954158
601800,中国交建,2017-03-31,63,减持,66659959,1193879865.69,-33699384,-33.5787212158214
300072,三聚环保,2017-03-31,62,减持,24558301,1536612893.57,-22283187,-47.5714755261404
000028,国药一致,2017-03-31,61,减持,26549386,1998637778.08,-17192968,-39.305081752116
300115,长盈精密,2017-03-31,61,减持,98018109,2848406247.54,-53768547,-35.4237641285147
300408,三环集团,2017-03-31,60,减持,89292076,1768876025.56,-12570892,-12.3409834278538
601336,新华保险,2017-03-31,60,减持,19251381,812215764.39,-46251105,-70.6096941114571
600690,海尔智家,2017-03-31,59,减持,125075217,1523416143.06,-43346879,-25.7370499652255
