股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
601375,中原证券,2016-12-31,1380,新进,34014915,136059660,34014915,0.02640513
603929,亚翔集成,2016-12-31,1289,新进,2831914,20134908.5400004,2831914,1.32729340999997
300586,美联新材,2016-12-31,1268,新进,1273403,11842647.9000002,1273403,0.0314376
603035,常熟汽饰,2016-12-31,1226,新进,2703037,28219706.2799994,2703037,0.02977277
603877,太平鸟,2016-12-31,1202,新进,3632387,77369843.1,3632387,0.02250094
603218,日月股份,2016-12-31,1198,新进,1957677,81537247.0499982,1957677,0.488198689999994
002838,道恩股份,2016-12-31,1195,新进,814676,12448249.2799999,814676,0.01135589
300591,万里马,2016-12-31,1190,新进,2803714,8607401.97999999,2803714,0.03684061
300582,英飞特,2016-12-31,1179,新进,1602805,41464565.3499988,1602805,1.21425148
002835,同为股份,2016-12-31,1160,新进,1308827,28152868.7700006,1308827,1.21187384999997
603298,杭叉集团,2016-12-31,1150,新进,4126298,100186515.44,4126298,0.666769150000008
603886,元祖股份,2016-12-31,1148,新进,2326167,41173155.8999999,2326167,0.969237329999985
002840,华统股份,2016-12-31,1141,新进,2070704,13563111.1999998,2070704,0.03790444
603416,信捷电气,2016-12-31,1116,新进,1205457,60369286.5599986,1205457,1.20065089999997
603239,浙江仙通,2016-12-31,1108,新进,953660,29992607.0000005,953660,1.05680756999998
002833,弘亚数控,2016-12-31,936,新进,2458430,43317536.5999994,2458430,1.84345485000001
300588,熙菱信息,2016-12-31,933,新进,1288073,6363080.62000011,1288073,0.01656
300587,天铁股份,2016-12-31,883,新进,1243879,17551132.6899998,1243879,0.01852786
600996,贵广网络,2016-12-31,859,新进,10044742,188740702.18,10044742,0.963459769999995
300583,赛托生物,2016-12-31,859,新进,1358076,54716882.0400006,1358076,0.01826619
603186,华正新材,2016-12-31,842,新进,1581497,8492638.88999993,1581497,0.0217317
603228,景旺电子,2016-12-31,836,新进,2278143,52761791.8800002,2278143,0.01009365
603689,皖天然气,2016-12-31,811,新进,3911951,30787054.3700002,3911951,0.0286785
603266,天龙股份,2016-12-31,810,新进,1251927,18315692.01,1251927,0.02832538
603032,德新交运,2016-12-31,789,新进,1283408,7456600.47999993,1283408,0.01777037
603577,汇金通,2016-12-31,788,新进,1941525,54964572.7500008,1941525,1.66397373999999
603058,永吉股份,2016-12-31,764,新进,2953962,32582200.8600002,2953962,0.700720419999991
002832,比音勒芬,2016-12-31,751,新进,868560,52721592.0000007,868560,0.814248769999997
603823,百合花,2016-12-31,708,新进,7643582,250250874.679999,7643582,1.32176943999999
600104,上汽集团,2016-12-31,517,增持,436573034,10237637647.3,246920360,130.196086768595
600519,贵州茅台,2016-12-31,505,增持,45243792,15118213096.8,7843634,20.9721948233481
000858,五粮液,2016-12-31,504,增持,241506245,8327135327.6,92939196,62.5570721270771
000651,格力电器,2016-12-31,485,增持,431932682,10634182630.84,74010911,20.6779573070452
603986,兆易创新,2016-12-31,471,增持,3173412,562577253.829998,1990680,168.312009821329
600028,中国石化,2016-12-31,449,增持,1238531700,6700456497,712684514,135.530726981964
000333,美的集团,2016-12-31,421,增持,362560938,10213341623.46,105007691,40.7712549630562
601166,兴业银行,2016-12-31,388,增持,783215559,12641099122.26,73193539,10.3086294422249
600887,伊利股份,2016-12-31,379,增持,592975104,10436361830.4,194045430,48.6415131906181
601318,中国平安,2016-12-31,378,增持,418159820,14815402422.6,42320701,11.260323596065
002142,宁波银行,2016-12-31,378,增持,254254271,4230791069.44,157267807,162.154387853546
601009,南京银行,2016-12-31,365,增持,399903713,4334956248.92,287158316,254.696265781919
000001,平安银行,2016-12-31,356,增持,520545944,4736968090.4,175061667,50.671384677804
600068,葛洲坝,2016-12-31,344,增持,431686632,3967200148.08,275069864,175.632448244622
000568,泸州老窖,2016-12-31,334,增持,161764410,5338225530,53305532,49.1481499559676
601398,工商银行,2016-12-31,331,增持,1256092740,5539368983.4,695295298,123.983321949603
002475,立讯精密,2016-12-31,329,增持,275709493,5705554021.58,121484088,78.770477535786
600276,恒瑞医药,2016-12-31,319,增持,128239987,5834919408.5,48169093,60.1580556850033
601328,交通银行,2016-12-31,318,增持,1640316835,9464628137.95,470380034,40.2055934643601
002456,欧菲光,2016-12-31,316,增持,175876444,6029044500.32,60964279,53.0529374326904
600036,招商银行,2016-12-31,314,增持,569552536,10024124633.6,94533262,19.9009318514516
601607,上海医药,2016-12-31,311,增持,203666926,3983725072.56,166835623,452.972361580583
600900,长江电力,2016-12-31,305,增持,261778123,3314111037.18,112320120,75.1516263735974
601688,华泰证券,2016-12-31,302,增持,282952806,5053537115.16,122660658,76.5231856522379
600015,华夏银行,2016-12-31,298,增持,389521183,4226304835.55,333144598,590.927240449204
601818,光大银行,2016-12-31,298,增持,1164233707,4552153794.37,990284278,569.294353935476
002202,金风科技,2016-12-31,293,增持,207992670,3558754583.7,184917123,801.355317817601
600030,中信证券,2016-12-31,290,增持,530886023,8526029529.38,40697123,8.30233467138893
601988,中国银行,2016-12-31,289,增持,1287663331,4429561858.64,927411362,257.434085530286
603660,苏州科达,2016-12-31,289,新进,5106298,164524921.56,5106298,0.473560399999999
000423,东阿阿胶,2016-12-31,286,增持,78354898,4220978355.26,31149130,65.9858557962663
600048,保利地产,2016-12-31,285,增持,510961631,4665079691.03,323702056,172.862752679002
000625,长安汽车,2016-12-31,284,增持,211015695,3152574483.3,106486931,101.87332837878
000895,双汇发展,2016-12-31,282,增持,98984353,2071742508.29,31844550,47.4302106605824
601668,中国建筑,2016-12-31,282,增持,740230098,6558438668.28,151870125,25.81245019535
601169,北京银行,2016-12-31,281,增持,551253885,5380237917.6,284820716,106.901373079416
002415,海康威视,2016-12-31,274,增持,183355313,4365690002.53,71759946,64.3036964070381
002236,大华股份,2016-12-31,273,增持,315475924,4315710640.32,68050895,27.5036423255305
601006,大秦铁路,2016-12-31,273,增持,562399876,3981791122.08,333730740,145.944811721333
000963,华东医药,2016-12-31,270,增持,49613286,3575629522.02,18272959,58.3049404685535
002826,易明医药,2016-12-31,269,新进,562398,14779819.4399999,562398,0.29643604
600547,山东黄金,2016-12-31,266,减持,103304254,3771638313.54,-17998188,-14.8374490267888
603389,*ST亚振,2016-12-31,266,新进,465270,11217659.7,465270,0.21249058
300017,网宿科技,2016-12-31,265,增持,90954048,4871138662.42,2396817,2.70651755134485
600016,民生银行,2016-12-31,263,增持,1014655735,9213074073.8,45833929,4.73089361904804
601998,中信银行,2016-12-31,263,增持,308788833,1979336419.53,224030365,264.31620378037
601939,建设银行,2016-12-31,263,增持,555694328,3022977144.32,451530037,433.478721609117
601288,农业银行,2016-12-31,261,增持,2280224290,7068695299,495901423,27.792135166309
601336,新华保险,2016-12-31,257,增持,65502486,2856360165.28,49559861,310.8638696576
603878,武进不锈,2016-12-31,254,新进,443469,17738760,443469,0.219539269999999
600000,浦发银行,2016-12-31,252,增持,501521534,8129664066.14,45651074,10.0140452180209
000063,中兴通讯,2016-12-31,252,增持,245055763,3908639419.85,147127943,150.241211333
002304,洋河股份,2016-12-31,252,增持,31983814,2258057268.4,21506192,205.258330563939
002241,歌尔股份,2016-12-31,250,增持,88233184,2339944039.68,38702552,78.138619349739
300070,碧水源,2016-12-31,248,增持,217611190,3812548048.8,72195469,49.6476367916231
002007,华兰生物,2016-12-31,247,增持,83686799,2991803064.25,23046515,38.0052886955477
601628,中国人寿,2016-12-31,243,增持,172247435,4149440709.15,90411405,110.478728012588
002008,大族激光,2016-12-31,242,增持,122077704,2758956110.4,104259539,585.130618107981
601857,中国石油,2016-12-31,241,增持,246001679,1955713348.05,137330117,126.371715352725
601186,中国铁建,2016-12-31,239,增持,252878194,3024423200.24,185527851,275.466824274377
601088,中国神华,2016-12-31,236,增持,169167366,2737127981.88,74886384,79.4289393379462
000630,铜陵有色,2016-12-31,236,增持,782937756,2411448288.48,629408106,409.958666615862
600518,ST康美,2016-12-31,235,增持,271204577,4841001699.45,124510311,84.8774218618743
600109,国金证券,2016-12-31,234,增持,227162604,2959928730.12,171893933,311.015137309888
000538,云南白药,2016-12-31,232,增持,48750114,3712321181.1,23187067,90.705411604493
600066,宇通客车,2016-12-31,231,增持,120356561,2357785029.99,22296777,22.7379421924894
600079,人福医药,2016-12-31,231,增持,202410735,4038094163.25,92962108,84.9367511937815
300115,长盈精密,2016-12-31,230,增持,151786656,3955560255.36,97560074,179.911900034562
600038,中直股份,2016-12-31,230,增持,80471209,3896415939.78,39398907,95.9257336002253
601989,中国重工,2016-12-31,228,增持,857421325,6079117194.25,242914626,39.5300208110506
600741,华域汽车,2016-12-31,227,增持,154394508,2462564685.8,81364968,111.413775850156
601601,中国太保,2016-12-31,226,增持,122009441,3388202176.57,102915163,538.984312473087
600820,隧道股份,2016-12-31,225,增持,263327528,2899236083.28,175695567,200.4925657204
300207,欣旺达,2016-12-31,224,增持,260413109,3619742215.1,59425879,29.5669923905116
601766,中国中车,2016-12-31,218,增持,325894636,3183990593.72,271026995,493.965095018392
600309,万华化学,2016-12-31,218,增持,163683788,3524111955.64,72659768,79.8248286551176
001979,招商蛇口,2016-12-31,218,增持,149100021,2443749344.19,58329223,64.2598988718817
600999,招商证券,2016-12-31,216,增持,158807624,2593328499.92,44655259,39.1189959139261
600060,海信视像,2016-12-31,215,增持,146611482,2509988571.84,97040895,195.763054006199
000998,隆平高科,2016-12-31,215,增持,115850397,2482674007.71,85474757,281.392448027433
601211,国泰君安,2016-12-31,213,增持,306758563,5702641686.17,289109071,1638.05888010828
002508,老板电器,2016-12-31,212,增持,89669022,3299820009.6,16127126,21.9291681030361
600362,江西铜业,2016-12-31,212,增持,112985521,1890247766.33,99014324,708.70322707496
600637,东方明珠,2016-12-31,211,增持,67426395,1571035003.5,36000705,114.558200631394
000776,广发证券,2016-12-31,211,增持,222019867,3743254957.62,58855466,36.0712665503549
