时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020/12/31,0.004290329,-0.112509752,-0.029546596,-0.056216818,0,0,0.00346356,0.003468271,0.00095391,0.00095391,0,0
2020/9/30,0.062552841,-0.036452762,-0.023037968,-0.029839566,0.009318519,-0.078010003,0.002585582,0.002586074,0.000459667,0.000459667,0.002294424,0.002294697
2020/6/30,0.051037332,-0.071477083,0.106644918,-0.009231361,-0.034846393,-0.020921738,0.002404506,0.002401484,0.001289085,0.001289085,0.001122494,0.001122494
2020/3/31,-0.047981152,0.05747299,0.050602998,-0.011934003,0.12539453,0.048673545,0.001805029,0.001805972,0.00067379,0.00067379,0.002204322,0.002204322
2019/12/31,0.011238342,-0.06156078,-0.007788573,0.020709371,0.073217836,0.060511478,0.001730754,0.001730754,0.000462356,0.000462356,0.002324389,0.002324389
2019/9/30,-0.009630812,0.012102995,0.00876296,-0.010259768,0.053754914,0.009051761,0.001291379,0.001291413,0.000392758,0.000392758,0.001037148,0.001037059
2019/6/30,-0.113155453,-0.093835268,-0.04220963,-0.034807805,-0.011166829,-0.000278128,0.001325556,0.001325287,0.000360436,0.000360294,0.000657659,0.000657784
2019/3/31,0.330832575,0.04753981,-0.039696773,-0.042783026,-0.016629184,-0.030000337,0.003194565,0.003188159,0.00069259,0.00069259,0.000742186,0.000742258
2018/12/31,-0.135918689,-0.031928678,-0.027593015,-0.088531119,0.381201428,0.181513805,0.001127499,0.001126027,0.000512318,0.000512387,0.002535426,0.00251721
2018/9/30,-0.075760208,-0.057065572,-0.101069712,-0.026312753,0.008385297,0.042313624,0.000982027,0.000981869,0.000444774,0.000444774,0.000783144,0.000783143
2018/6/30,-0.194168166,-0.095485078,0.005362349,0.002331925,-0.076019851,-0.055620873,0.002517805,0.002511541,0.000604056,0.000604056,0.000655813,0.000655813
2018/3/31,-0.023450081,0.012731895,-0.039218195,-0.003259858,-0.1029943,-0.034306022,0.000956105,0.000956259,0.000366583,0.000366583,0.000978412,0.000978412
2017/12/31,-0.156828915,-0.187707842,-0.046064328,-0.10309227,0.011977905,0.100333835,0.000755771,0.000755771,0.000417114,0.000417114,0.000814699,0.000814699
2017/9/30,0.049812386,0.003706031,-0.027747534,-0.05322252,-0.053034423,-0.061909652,0.001170127,0.001170109,0.00035039,0.00035039,0.001767178,0.001767178
2017/6/30,-0.116945931,-0.184346511,-0.02441652,-0.039321502,0.060956114,0.030312153,0.00128658,0.001288525,0.000505469,0.000505469,0.000591917,0.000591917
2017/3/31,0.005985271,-0.036748159,-0.050330853,-0.039782646,-0.028428351,-0.098114925,0.00149969,0.00150006,0.000525744,0.000525744,0.000533344,0.000533344
2016/12/31,0.014124201,0.000428927,-0.035154036,-0.057486902,0.020906894,0.001702723,0.002211438,0.002211438,0.000396953,0.000396953,0.000636229,0.000636229
2016/9/30,0.016334513,-0.014169684,0.026794847,0.003896912,-0.022491493,-0.015790637,0.000953871,0.000953691,0.000212045,0.000212045,0.000764515,0.000764515
2016/6/30,0.028208505,0.05152078,-0.018911289,-0.033799171,0.053031451,0.035245984,0.005117267,0.005117267,0.000455087,0.000455087,0.000644594,0.000644594
2016/3/31,-0.174130086,-0.038003997,-0.007081018,0.010630819,0.051823861,0.053691056,0.001794774,0.001793322,0.000422235,0.000422235,0.001440822,0.001440822
2015/12/31,0.290442162,0.168327142,-0.288987438,-0.079701528,0.167458056,0.072512087,0.003998787,0.003998787,0.000576392,0.000576392,0.000898148,0.000898148
2015/9/30,-0.282761987,-0.0095738,0.153306026,0.09041843,0.20338052,0.124340987,0.001790335,0.001784818,0.001229733,0.001229733,0.00333928,0.003338823
2015/6/30,0.229871638,0.149147096,-0.147609992,-0.012982481,-0.156019862,-0.003998237,0.005028548,0.005028548,0.000800509,0.000800509,0.00117883,0.00117883
2015/3/31,0.365452714,0.229418571,0.161651084,-0.008993401,0.100997862,0.160738172,0.004390212,0.004390212,0.001823858,0.001823858,0.003430155,0.00343124
2014/12/31,-0.062364464,-0.492658189,0.090482884,0.127414088,0.336636846,0.130990737,0.00222727,0.002375768,0.000415597,0.000415597,0.002696592,0.002696592
,0.002683475,-0.031645077,-0.014114216,-0.019446278,0.048200473,0.027207558,,,,,,
