时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020/12/31,0.138877863,0.0216449,-0.016048981,-0.042719203,0,0,0.005340777,0.0053361,0.000942773,0.000942773,0,0
2020/9/30,0.235702131,0.137080478,-0.012937029,-0.019738626,0.008260645,-0.079126522,0.005022403,0.005008729,0.000819704,0.000819704,0.002376241,0.002376241
2020/6/30,0.138345612,0.015583819,0.122755532,0.006879253,-0.024442992,-0.010532394,0.00370499,0.003703695,0.001639376,0.001639376,0.001307829,0.001307837
2020/3/31,0.076029095,0.180941883,0.039692001,-0.022845,0.137484757,0.060763771,0.004160397,0.004163325,0.000826032,0.000826032,0.002316533,0.002316533
2019/12/31,0.058656225,-0.014069692,0.001457985,0.029945831,0.04925545,0.036553594,0.001475454,0.001475492,0.000743416,0.00074344,0.001482095,0.001482085
2019/9/30,0.048440548,0.069929499,0.011265926,-0.007756802,0.066105731,0.021371597,0.002757571,0.002760396,0.000723559,0.000723559,0.001185759,0.001185759
2019/6/30,-0.083585538,-0.064224957,-0.02477301,-0.017336011,-0.000171466,0.010768979,0.001103168,0.001103065,0.000365668,0.000365655,0.000837529,0.000837529
2019/3/31,0.42086284,0.137385824,-0.052676619,-0.055762873,-0.008257449,-0.021637298,0.00456464,0.00456464,0.000644208,0.000644208,0.0009081,0.0009081
2018/12/31,-0.070161968,0.034192499,-0.020418418,-0.081570093,0.345613688,0.145226215,0.001011733,0.001011671,0.000471643,0.000471656,0.002270923,0.002269505
2018/9/30,-0.021883706,-0.003164702,-0.08620501,-0.011448052,0.02437935,0.058393326,0.001469404,0.001469404,0.000385121,0.000385121,0.000954376,0.000954376
2018/6/30,-0.144603329,-0.045648885,-0.001373316,-0.004403741,-0.081976381,-0.061577403,0.001306247,0.001305112,0.000457764,0.000457764,0.000595655,0.000595655
2018/3/31,0.06873627,0.104716493,-0.0346557,0.001302637,-0.092259334,-0.023571056,0.001961062,0.001962248,0.000476735,0.000476735,0.000879159,0.000879159
2017/12/31,-0.08609044,-0.116866417,-0.024646776,-0.081674717,-0.003432447,0.084885506,0.002557616,0.002558637,0.000525606,0.000525606,0.000920394,0.000920731
2017/9/30,0.136613275,0.090786761,-0.039081564,-0.06455655,-0.072322532,-0.08119776,0.002305883,0.002303191,0.00043515,0.00043515,0.000663438,0.000663438
2017/6/30,-0.07952345,-0.146759659,-0.010165583,-0.025070566,0.060131363,0.029487402,0.001253149,0.001256368,0.000561021,0.000561021,0.000878745,0.000878745
2017/3/31,0.022979741,-0.0193249,-0.062611451,-0.052063243,-0.035064812,-0.104751385,0.001546008,0.001546616,0.000518367,0.000518367,0.000569106,0.000569106
2016/12/31,0.018975511,0.005329032,-0.025817541,-0.048140975,0.016670988,-0.002517278,0.001571316,0.001571161,0.00030741,0.000307438,0.00054679,0.000546737
2016/9/30,0.085507254,0.055114994,0.030538781,0.007640846,-0.001621711,0.005079145,0.001642982,0.001642668,0.000193984,0.000193984,0.001894861,0.001894861
2016/6/30,0.049204553,0.072496792,-0.004041286,-0.018929167,0.044150435,0.026364968,0.003401217,0.003401384,0.000477375,0.000477375,0.000750264,0.000750264
2016/3/31,-0.125419358,0.009897561,0.019033874,0.036745712,0.037559367,0.039426562,0.002027141,0.002016762,0.000511386,0.000511386,0.001030167,0.001030167
2015/12/31,0.375527997,0.253412976,-0.277662255,-0.068376345,0.151755988,0.056810019,0.00561891,0.00561891,0.000692613,0.000692613,0.001092194,0.001092194
2015/9/30,-0.247628371,0.025911087,0.179427746,0.116540149,0.259927148,0.180991831,0.002349783,0.002349783,0.001386447,0.001386447,0.002917344,0.002914904
2015/6/30,0.352438565,0.271749347,-0.141037837,-0.006410327,-0.16165364,-0.009632016,0.016124936,0.016124051,0.001087779,0.001087779,0.001365073,0.001365073
2015/3/31,0.596251233,0.460930895,0.180166614,0.009522128,0.116641251,0.176469233,0.00931664,0.009275145,0.001789206,0.001789206,0.003087202,0.003087202
2014/12/31,0.100212055,-0.334506215,0.063585049,0.100496294,0.318908676,0.113373711,0.004677643,0.004690359,0.000745343,0.000745495,0.002912453,0.002910317
,0.082578584,0.048101577,-0.007449155,-0.012789178,0.048151753,0.027142614,,,,,,
