时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020/12/31,0.497889988,0.386324913,0.044963596,0.018293374,0,0,3.08E-33,0,0,0,0,0
2020/9/30,0.29274049,0.198310585,-0.022108546,-0.028910144,-0.061497116,-0.148884284,3.08E-33,3.08E-33,4.81E-35,4.81E-35,1.93E-34,3.08E-33
2020/6/30,0.145434253,0.022510092,0.155713821,0.039837542,-0.047262096,-0.033337441,7.70E-34,1.20E-35,7.70E-34,1.93E-34,0,4.81E-35
2020/3/31,0.194044927,0.299638968,-0.002646334,-0.065183335,0.17923813,0.102517144,7.70E-34,3.08E-33,1.88E-37,1.93E-34,0,1.93E-34
2019/12/31,0.012714979,-0.060084143,-0.04672314,-0.018225196,-0.015961272,-0.02866763,1.20E-35,1.93E-34,0,1.20E-35,1.20E-35,4.81E-35
2019/9/30,-0.034101893,-0.012354567,-0.000420142,-0.01944287,0.04229468,-0.002439454,4.81E-35,3.01E-36,2.94E-39,1.20E-35,1.93E-34,1.88E-37
2019/6/30,-0.080508684,-0.061135009,-0.045837925,-0.038398185,-0.06189639,-0.050951914,1.93E-34,4.81E-35,4.81E-35,4.81E-35,4.81E-35,4.81E-35
2019/3/31,0.42088473,0.137407714,-0.061991976,-0.06507823,-0.0212606,-0.034640449,1.23E-32,7.70E-34,1.93E-34,1.93E-34,1.20E-35,4.81E-35
2018/12/31,-0.042364907,0.062024126,-0.052145214,-0.113317146,0.386117359,0.185663508,1.93E-34,1.93E-34,4.81E-35,1.93E-34,3.08E-33,0
2018/9/30,-0.025228542,-0.006509538,-0.08995476,-0.015197802,0.068129336,0.102143313,4.81E-35,7.52E-37,1.93E-34,3.01E-36,1.93E-34,1.93E-34
2018/6/30,-0.129762616,-0.030704621,0.00544697,0.002416546,-0.08653125,-0.066132273,0,4.81E-35,7.52E-37,1.88E-37,1.93E-34,1.93E-34
2018/3/31,0.08170617,0.117973755,-0.009266218,0.02669212,-0.108901175,-0.040212897,1.93E-34,1.93E-34,0,4.81E-35,1.93E-34,0
2017/12/31,-0.085513802,-0.116392729,0.010501265,-0.046526677,-0.009579124,0.078776806,1.93E-34,1.93E-34,0,0,3.01E-36,1.93E-34
2017/9/30,0.2373195,0.191162046,-0.102308227,-0.127783214,-0.104085497,-0.112960726,3.08E-33,7.70E-34,1.93E-34,7.70E-34,0,1.93E-34
2017/6/30,-0.02632386,-0.090484719,0.021186515,0.006281532,0.146481418,0.115837457,4.81E-35,7.70E-34,4.81E-35,7.52E-37,0,0
2017/3/31,0.162097226,0.119217883,-0.041900685,-0.031352477,-0.052092586,-0.12177916,7.70E-34,7.70E-34,0,1.93E-34,4.81E-35,1.93E-34
2016/12/31,0.1272897,0.113594426,-0.060361763,-0.082694629,-0.004525726,-0.022769688,7.70E-34,7.70E-34,1.93E-34,0,7.52E-37,4.81E-35
2016/9/30,0.066226,0.03723185,0.036754565,0.01385663,-0.013095447,-0.006394591,1.93E-34,0,4.81E-35,0,3.01E-36,0
2016/6/30,0.030805977,0.054118253,-0.019197862,-0.034085743,0.028308369,0.010522902,1.93E-34,1.93E-34,0,4.81E-35,4.81E-35,3.01E-36
2016/3/31,-0.135561436,0.000721195,-0.00939067,0.008321167,0.060185704,0.062052899,3.08E-33,1.18E-38,0,0,1.93E-34,4.81E-35
2015/12/31,0.514870329,0.392755309,-0.285466448,-0.076180538,0.152484224,0.057538255,0,1.23E-32,0,0,7.70E-34,1.93E-34
2015/9/30,-0.364950146,-0.091410688,0.217450483,0.154562887,0.333123723,0.254034414,3.08E-33,1.93E-34,7.70E-34,0,0,1.23E-32
2015/6/30,0.343009532,0.26228499,-0.134466753,0.000160758,-0.194020805,-0.04199918,3.08E-33,0,7.70E-34,7.35E-40,7.70E-34,1.93E-34
2015/3/31,0.69987248,0.563838336,0.17106787,0.000423384,0.129398524,0.189226506,0,0,0,2.94E-39,7.70E-34,0
2014/12/31,0.354698108,-0.081257469,-0.005762811,0.031168393,0.270204428,0.064558318,1.23E-32,0,7.52E-37,0,3.08E-33,1.93E-34
,0.13029154,0.096351238,-0.013074576,-0.018414474,0.042302367,0.02132091,,,,,,
