时间,过去一季平均收益率,相对沪深300指数的收益率1,未来一个月平均收益率,相对沪深300指数的收益率2,两到三月平均收益率,相对沪深300指数的收益率3,过去一季收益率方差,相对沪深300指数的收益率方差1,未来一月收益率方差,相对沪深300指数的收益率方差2,两到三月收益率方差,相对沪深300指数的收益率方差3
2020/12/31,0.04938829,-0.06270148,-0.025694489,-0.052280737,0,0,0.00421028,0.004220637,0.001180093,0.001180457,0,0
2020/9/30,0.091977121,-0.000767853,-0.016290394,-0.023074635,0.006080877,-0.081263288,0.003198577,0.00316915,0.000809039,0.000809063,0.002430958,0.002431661
2020/6/30,0.124428705,0.004269647,0.121519296,0.006075111,-0.028402997,-0.01450183,0.00361696,0.003597301,0.00238666,0.002384289,0.001287637,0.00128761
2020/3/31,-0.020511447,0.082704364,0.048352409,-0.014058429,0.129837599,0.053116613,0.002302918,0.002308766,0.000735975,0.000735464,0.002269326,0.002269326
2019/12/31,0.050801493,-0.02039987,0.001846321,0.030304811,0.050980308,0.038277393,0.001473441,0.00147133,0.000749564,0.00074964,0.001579676,0.001579671
2019/9/30,0.001420082,0.022514286,0.007629643,-0.011373142,0.054462664,0.009751498,0.001588136,0.001589523,0.000470045,0.000469992,0.001064328,0.001064231
2019/6/30,-0.086323337,-0.067148631,-0.02672472,-0.019295907,-0.000219146,0.010715425,0.001133477,0.001131863,0.000427221,0.000427194,0.000823471,0.000823529
2019/3/31,0.344939502,0.06488038,-0.042841882,-0.045926671,-0.014500655,-0.027872906,0.00360232,0.003529051,0.000721085,0.000721095,0.000805621,0.000805637
2018/12/31,-0.073487435,0.030302278,-0.02221454,-0.083336515,0.347592115,0.147248173,0.001060438,0.001058955,0.000483082,0.000483196,0.002273065,0.002270538
2018/9/30,-0.068442947,-0.049898159,-0.09875097,-0.023994012,0.009877616,0.043812136,0.001067586,0.001066903,0.000468828,0.000468828,0.000826841,0.000827123
2018/6/30,-0.146480916,-0.048227437,-0.002326499,-0.005354413,-0.084217667,-0.06381869,0.001498575,0.00149138,0.000528683,0.000528679,0.000618014,0.000618014
2018/3/31,-0.011120676,0.024569423,-0.035598596,0.000324437,-0.100986143,-0.032297865,0.001135936,0.00113668,0.000566008,0.000565765,0.000999972,0.000999972
2017/12/31,-0.098870658,-0.128930441,-0.026616943,-0.083561,0.000231945,0.08853336,0.002092073,0.002100502,0.000730026,0.000730338,0.000939476,0.000939745
2017/9/30,0.058596407,0.01383437,-0.026056214,-0.051432492,-0.057152012,-0.066023002,0.001348156,0.001343567,0.000650027,0.000650602,0.001640054,0.001640102
2017/6/30,-0.086132011,-0.151260734,-0.014869107,-0.029722343,0.06526439,0.034620428,0.001248627,0.00127672,0.000614278,0.000614409,0.000978306,0.000978306
2017/3/31,0.007927756,-0.033558733,-0.050114426,-0.039596483,-0.031756067,-0.101442641,0.001492086,0.001494436,0.000682485,0.000682357,0.000555124,0.000555124
2016/12/31,0.017864932,0.004688148,-0.02384936,-0.046070784,0.021439485,0.002248817,0.001644634,0.001644099,0.000812616,0.000813094,0.000620625,0.000620581
2016/9/30,0.030267334,0.000545235,0.035165998,0.012342341,-0.019655091,-0.012954235,0.001108515,0.001107309,0.00091603,0.000915809,0.001049961,0.001049961
2016/6/30,0.046453551,0.069419833,-0.001646997,-0.016508686,0.043524091,0.025738624,0.003658509,0.003661225,0.001136557,0.00113661,0.000741931,0.000741931
2016/3/31,-0.162997834,-0.028119959,0.002716053,0.020420955,0.051492055,0.05335925,0.001875977,0.001864169,0.001226774,0.001226764,0.00145038,0.00145038
2015/12/31,0.359498026,0.239146006,-0.270340434,-0.061157221,0.153866407,0.058920438,0.005556637,0.005506577,0.001409128,0.001407169,0.001105921,0.001105921
2015/9/30,-0.272930638,0.000354199,0.158731697,0.095844101,0.217198175,0.138184171,0.001987504,0.001986036,0.001267713,0.001267713,0.003257942,0.003256547
2015/6/30,0.314487502,0.23731573,-0.123588815,0.010937972,-0.160262777,-0.008241153,0.013629993,0.013534851,0.00252785,0.002527499,0.001352935,0.001352935
2015/3/31,0.418290979,0.285826805,0.174821027,0.004176541,0.106673225,0.166440016,0.006364673,0.006243922,0.002820952,0.002820952,0.003471064,0.003472124
2014/12/31,0.054931753,-0.372186765,0.0724097,0.109309557,0.321923394,0.116451842,0.004266667,0.00439755,0.000770137,0.000770455,0.002880516,0.002877011
,0.037759021,0.004686826,-0.00737329,-0.012680306,0.045137158,0.024125107,,,,,,
